"Location","Treatment","Details","TrapID","Longitude","Latitude"
"Loc9","T2","trt A",201,111.602790990648,-7.23363413322164
"Loc9","T2","trt A",202,111.601875990648,-7.23329013322164
"Loc9","T2","trt A",203,111.601596990648,-7.23420813322164
"Loc9","T2","trt A",204,111.602450990648,-7.23449113322164
"Loc9","T1","CGP",101,111.602220990648,-7.24248113322164
"Loc9","T1","CGP",102,111.601314990648,-7.24241313322164
"Loc9","T1","CGP",103,111.601222990648,-7.24325113322164
"Loc9","T1","CGP",104,111.602068990648,-7.24331513322164
"Loc10","T2","trt A",201,111.616275792978,-7.13534449599639
"Loc10","T2","trt A",202,111.615276792978,-7.13538849599639
"Loc10","T2","trt A",203,111.615357792978,-7.13642349599639
"Loc10","T2","trt A",204,111.616376792978,-7.13635549599639
"Loc10","T1","CGP",101,111.621265792978,-7.13535349599639
"Loc10","T1","CGP",102,111.620317792978,-7.13534149599639
"Loc10","T1","CGP",103,111.621352792978,-7.13621249599639
"Loc10","T1","CGP",104,111.620353792978,-7.13627949599639
"Loc7","T2","trt A",201,111.004190435157,-7.42176747192043
"Loc7","T2","trt A",202,111.004854435157,-7.42113647192043
"Loc7","T2","trt A",203,111.004074435157,-7.42052847192043
"Loc7","T2","trt A",204,111.003413435157,-7.42118447192043
"Loc7","T1","CGP",101,110.997221435157,-7.42177847192043
"Loc7","T1","CGP",102,110.998138435157,-7.42163447192043
"Loc7","T1","CGP",103,110.997988435157,-7.42073147192043
"Loc7","T1","CGP",104,110.997038435157,-7.42096447192043
"Loc2","T2","trt A",201,107.164695417744,-6.18564415449607
"Loc2","T2","trt A",202,107.165389417744,-6.18570215449607
"Loc2","T2","trt A",203,107.165283417744,-6.18642315449607
"Loc2","T2","trt A",204,107.164598417744,-6.18634715449607
"Loc2","T1","CGP",101,107.169451417744,-6.17867115449607
"Loc2","T1","CGP",102,107.170386417744,-6.17889715449607
"Loc2","T1","CGP",103,107.170153417744,-6.17981415449607
"Loc2","T1","CGP",104,107.169288417744,-6.17965015449607
"Loc1","T2","trt A",201,107.385397160511,-6.18089581689712
"Loc1","T2","trt A",202,107.385603160511,-6.17992281689712
"Loc1","T2","trt A",203,107.386614160511,-6.18025381689712
"Loc1","T2","trt A",204,107.386382160511,-6.18117081689712
"Loc1","T1","CGP",101,107.388934160511,-6.18197981689712
"Loc1","T1","CGP",102,107.389160160511,-6.18110981689712
"Loc1","T1","CGP",103,107.389989160511,-6.18132781689712
"Loc1","T1","CGP",104,107.389738160511,-6.18222481689712
"Loc4","T2","trt A",201,107.821294126473,-6.73363413322164
"Loc4","T2","trt A",202,107.820321126473,-6.73329013322164
"Loc4","T2","trt A",203,107.820321126473,-6.73420813322164
"Loc4","T2","trt A",204,107.821294126473,-6.73449113322164
"Loc4","T1","CGP",101,107.810738126473,-6.74248113322164
"Loc4","T1","CGP",102,107.809708126473,-6.74241313322164
"Loc4","T1","CGP",103,107.809442126473,-6.74325113322164
"Loc4","T1","CGP",104,107.810598126473,-6.74331513322164
"Loc5","T2","trt A",201,106.452721867125,-6.873280869784
"Loc5","T2","trt A",202,106.451724867125,-6.873684869784
"Loc5","T2","trt A",203,106.451338867125,-6.872853869784
"Loc5","T2","trt A",204,106.452261867125,-6.872411869784
"Loc5","T1","CGP",101,106.456439867125,-6.876068869784
"Loc5","T1","CGP",102,106.455479867125,-6.876378869784
"Loc5","T1","CGP",103,106.455051867125,-6.875568869784
"Loc5","T1","CGP",104,106.456047867125,-6.875274869784
"Loc3","T2","trt A",201,106.656692275933,-6.7917814585531
"Loc3","T2","trt A",202,106.655913275933,-6.7920244585531
"Loc3","T2","trt A",203,106.655588275933,-6.7911034585531
"Loc3","T2","trt A",204,106.656423275933,-6.7908374585531
"Loc3","T1","CGP",101,106.648878275933,-6.7785404585531
"Loc3","T1","CGP",102,106.648268275933,-6.7792304585531
"Loc3","T1","CGP",103,106.647785275933,-6.7785184585531
"Loc3","T1","CGP",104,106.648502275933,-6.7778944585531
"Loc6","T2","trt A",201,106.606755924882,-6.9563524845438
"Loc6","T2","trt A",202,106.605821924882,-6.9566354845438
"Loc6","T2","trt A",203,106.605488924882,-6.9557184845438
"Loc6","T2","trt A",204,106.606455924882,-6.9554354845438
"Loc6","T1","CGP",101,106.606544924882,-6.9422844845438
"Loc6","T1","CGP",102,106.605462924882,-6.9425384845438
"Loc6","T1","CGP",103,106.605333924882,-6.9416754845438
"Loc6","T1","CGP",104,106.606418924882,-6.9414464845438
"Loc8","T2","trt A",201,110.830895497591,-7.386223941135
"Loc8","T2","trt A",202,110.829899497591,-7.386105941135
"Loc8","T2","trt A",203,110.829694497591,-7.385158941135
"Loc8","T2","trt A",204,110.830678497591,-7.385307941135
"Loc8","T1","CGP",101,110.821395497591,-7.395288941135
"Loc8","T1","CGP",102,110.820431497591,-7.395269941135
"Loc8","T1","CGP",103,110.820221497591,-7.394350941135
"Loc8","T1","CGP",104,110.821229497591,-7.394386941135
