"Location","Treatment","Details","TrapID","Longitude","Latitude","TransplantDate","DispInstallDate","TrapInstallDate","AssessmentNumber","SamplingDate","nYSB","DaysOfCatch","DATI","DADI","DAT","mothsperday","DetailsF","PlaceF","logDaysOfCatch","DATscaled","SamplingDateC","numericDate","nYSB2"
"Jerberg","T3","trt C",301,111.602790990648,-7.23363413322164,2023-08-06,2023-08-13,2023-08-13,1,2023-08-23,4,10,10,10,17,0.4,"trt C","Jerberg",2.30258509299405,-1.37317823539136,"2023-08-23",10,4
"Jerberg","T3","trt C",302,111.601875990648,-7.23329013322164,2023-08-06,2023-08-13,2023-08-13,1,2023-08-23,8,10,10,10,17,0.8,"trt C","Jerberg",2.30258509299405,-1.37317823539136,"2023-08-23",10,9
"Jerberg","T3","trt C",303,111.601596990648,-7.23420813322164,2023-08-06,2023-08-13,2023-08-13,1,2023-08-23,1,10,10,10,17,0.1,"trt C","Jerberg",2.30258509299405,-1.37317823539136,"2023-08-23",10,1
"Jerberg","T3","trt C",304,111.602450990648,-7.23449113322164,2023-08-06,2023-08-13,2023-08-13,1,2023-08-23,7,10,10,10,17,0.7,"trt C","Jerberg",2.30258509299405,-1.37317823539136,"2023-08-23",10,7
"Jerberg","T6","CGP",601,111.602220990648,-7.24248113322164,2023-08-09,NA,2023-08-15,1,2023-08-25,275,10,10,NA,16,27.5,"CGP","Jerberg",2.30258509299405,-1.41197251833059,"2023-08-25",12,280
"Jerberg","T6","CGP",602,111.601314990648,-7.24241313322164,2023-08-09,NA,2023-08-15,1,2023-08-25,278,10,10,NA,16,27.8,"CGP","Jerberg",2.30258509299405,-1.41197251833059,"2023-08-25",12,286
"Jerberg","T6","CGP",603,111.601222990648,-7.24325113322164,2023-08-09,NA,2023-08-15,1,2023-08-25,396,10,10,NA,16,39.6,"CGP","Jerberg",2.30258509299405,-1.41197251833059,"2023-08-25",12,397
"Jerberg","T6","CGP",604,111.602068990648,-7.24331513322164,2023-08-09,NA,2023-08-15,1,2023-08-25,351,10,10,NA,16,35.1,"CGP","Jerberg",2.30258509299405,-1.41197251833059,"2023-08-25",12,352
"Gettusberg","T3","trt C",301,111.616275792978,-7.13534449599639,2023-09-09,2023-09-10,2023-09-10,1,2023-09-20,45,10,10,10,11,4.5,"trt C","Gettusberg",2.30258509299405,-1.60594393302672,"2023-09-20",38,45
"Gettusberg","T3","trt C",302,111.615276792978,-7.13538849599639,2023-09-09,2023-09-10,2023-09-10,1,2023-09-20,9,10,10,10,11,0.9,"trt C","Gettusberg",2.30258509299405,-1.60594393302672,"2023-09-20",38,9
"Gettusberg","T3","trt C",303,111.615357792978,-7.13642349599639,2023-09-09,2023-09-10,2023-09-10,1,2023-09-20,0,10,10,10,11,0,"trt C","Gettusberg",2.30258509299405,-1.60594393302672,"2023-09-20",38,1
"Gettusberg","T3","trt C",304,111.616376792978,-7.13635549599639,2023-09-09,2023-09-10,2023-09-10,1,2023-09-20,8,10,10,10,11,0.8,"trt C","Gettusberg",2.30258509299405,-1.60594393302672,"2023-09-20",38,8
"Gettusberg","T6","CGP",601,111.621265792978,-7.13535349599639,2023-09-04,NA,2023-09-08,1,2023-09-18,10,10,10,NA,14,1,"CGP","Gettusberg",2.30258509299405,-1.48956108420904,"2023-09-18",36,32
"Gettusberg","T6","CGP",602,111.620317792978,-7.13534149599639,2023-09-04,NA,2023-09-08,1,2023-09-18,289,10,10,NA,14,28.9,"CGP","Gettusberg",2.30258509299405,-1.48956108420904,"2023-09-18",36,294
"Gettusberg","T6","CGP",603,111.621352792978,-7.13621249599639,2023-09-04,NA,2023-09-08,1,2023-09-18,271,10,10,NA,14,27.1,"CGP","Gettusberg",2.30258509299405,-1.48956108420904,"2023-09-18",36,271
"Gettusberg","T6","CGP",604,111.620353792978,-7.13627949599639,2023-09-04,NA,2023-09-08,1,2023-09-18,132,10,10,NA,14,13.2,"CGP","Gettusberg",2.30258509299405,-1.48956108420904,"2023-09-18",36,136
"Sragen","T3","trt C",301,111.004190435157,-7.42176747192043,2023-08-12,2023-08-16,2023-08-17,1,2023-08-26,0,9,9,10,14,0,"trt C","Sragen",2.19722457733622,-1.48956108420904,"2023-08-26",13,0
"Sragen","T3","trt C",302,111.004854435157,-7.42113647192043,2023-08-12,2023-08-16,2023-08-17,1,2023-08-26,0,9,9,10,14,0,"trt C","Sragen",2.19722457733622,-1.48956108420904,"2023-08-26",13,0
"Sragen","T3","trt C",303,111.004074435157,-7.42052847192043,2023-08-12,2023-08-16,2023-08-17,1,2023-08-26,0,9,9,10,14,0,"trt C","Sragen",2.19722457733622,-1.48956108420904,"2023-08-26",13,0
"Sragen","T3","trt C",304,111.003413435157,-7.42118447192043,2023-08-12,2023-08-16,2023-08-17,1,2023-08-26,0,9,9,10,14,0,"trt C","Sragen",2.19722457733622,-1.48956108420904,"2023-08-26",13,0
"Sragen","T6","CGP",601,110.997221435157,-7.42177847192043,2023-08-12,2023-08-15,2023-08-17,1,2023-08-25,38,8,8,10,13,4.75,"CGP","Sragen",2.07944154167984,-1.52835536714827,"2023-08-25",12,46
"Sragen","T6","CGP",602,110.998138435157,-7.42163447192043,2023-08-12,2023-08-15,2023-08-17,1,2023-08-25,49,8,8,10,13,6.125,"CGP","Sragen",2.07944154167984,-1.52835536714827,"2023-08-25",12,51
"Sragen","T6","CGP",603,110.997988435157,-7.42073147192043,2023-08-12,2023-08-15,2023-08-17,1,2023-08-25,56,8,8,10,13,7,"CGP","Sragen",2.07944154167984,-1.52835536714827,"2023-08-25",12,56
"Sragen","T6","CGP",604,110.997038435157,-7.42096447192043,2023-08-12,2023-08-15,2023-08-17,1,2023-08-25,44,8,8,10,13,5.5,"CGP","Sragen",2.07944154167984,-1.52835536714827,"2023-08-25",12,48
